query,clicks,impressions,ctr_pct,avg_position,cluster,branded,intent_band
"ai receptionist for contractors",0,50,0,71.9,ai-receptionist,false,pos50plus
"custom chatbot development vancouver",0,42,0,69.0,chatbot,false,pos50plus
"ai receptionist for construction",0,34,0,72.9,ai-receptionist,false,pos50plus
"ai chatbot development vancouver",0,29,0,82.4,chatbot,false,pos50plus
"ai leads for contractors",0,22,0,74.7,trades,false,pos50plus
"ai receptionist for small business",0,19,0,84.8,ai-receptionist,false,pos50plus
"is an ai receptionist worth it?",0,15,0,45.8,ai-receptionist,false,pos21-50
"ai services surrey",0,11,0,88.6,other,false,pos50plus
"virtual receptionists for contractors",0,11,0,96.0,ai-receptionist,false,pos50plus
"handbuilt",0,9,0,41.2,other,true,pos21-50
"custom chatbot development canada",0,9,0,89.6,chatbot,false,pos50plus
"done for you ai automation",0,8,0,50.9,other,false,pos50plus
"ai receptionist for trades",0,8,0,74.4,ai-receptionist,false,pos50plus
"ai chatbot development in vancouver",0,8,0,91.9,chatbot,false,pos50plus
"ai sales follow up system for construction company",0,6,0,78.0,quote-follow-up,false,pos50plus
"contractor automation tools",0,6,0,83.3,trades,false,pos50plus
"ai workers",0,5,0,67.2,other,false,pos50plus
"ai automation for gyms",0,5,0,68.6,other,false,pos50plus
"ai automation for contractors",0,5,0,71.2,trades,false,pos50plus
"ai quoting software contractors",0,5,0,81.0,quote-follow-up,false,pos50plus
"ai receptionist for carpenters",0,5,0,85.0,ai-receptionist,false,pos50plus
"is an ai receptionist worth it",0,4,0,56.8,ai-receptionist,false,pos50plus
"done-for-you ai systems canada",0,4,0,63.5,other,false,pos50plus
"ai receptionist for construction companies",0,4,0,80.0,ai-receptionist,false,pos50plus
"ai answering service for builders",0,4,0,81.2,ai-receptionist,false,pos50plus
"automating physio clinic admin",0,4,0,87.8,other,false,pos50plus
"ai chatbot for drywall contractors",0,4,0,95.0,chatbot,false,pos50plus
"ai worker",0,3,0,46.3,other,false,pos21-50
"automation for physio clinics",0,3,0,51.0,other,false,pos50plus
"hand built",0,3,0,54.0,other,true,pos50plus
