industry,lead_value,urgency,quote_complexity,admin_burden,competitor_density_inverted,proof_feasibility,total_30,tier,current_site_page,recommendation,rationale,confidence
Fencing / decks,4,2,5,4,5,5,25,1b,/industries/fence-company-ai-automation + /industries/deck-builder-ai-automation,BUILD FIRST,Highest score. Quote complexity 5/5 and zero vendor targeting. Site's own hypothetical already reaches for a fencing contractor,INFERRED
Landscaping / hardscaping,3,2,5,4,4,5,23,1b,/industries/landscaping-ai-automation + /industries/lawn-care-ai-automation,BUILD FIRST,Uncontested; dense in the Fraser Valley; quote-heavy,INFERRED
Restoration / water damage,5,5,4,3,4,2,23,1b,none,WATCHLIST,High value and urgency but harder local access for a solo builder,INFERRED
HVAC,5,5,3,4,1,4,22,1a,/industries/hvac-ai-automation,BUILD SECOND,Highest willingness to pay but heavily targeted by funded vendors (Avoca Sameday AnswerForce Newo),STRONGLY-SUPPORTED
Concrete / paving,4,1,5,3,5,4,22,1b,none,CONSIDER,Uncontested and quote-heavy but low urgency slows the buying decision,INFERRED
General contracting / remodel,5,1,5,5,3,3,22,2,/industries/contractor-ai-automation,KEEP,High value; long sales cycle; low urgency,INFERRED
Property management,4,3,3,5,4,3,22,2,none,CONSIDER,Very high admin burden; recurring relationship,INFERRED
Tree service,3,3,4,3,5,4,22,2,none,CONSIDER,Uncontested; seasonal,INFERRED
Roofing,5,3,4,4,1,4,21,1a,/industries/roofing-ai-automation,BUILD SECOND,High value; heavily targeted,STRONGLY-SUPPORTED
Plumbing,4,5,2,4,1,4,20,1a,/industries/plumber-ai-automation,BUILD SECOND,Genuine emergency demand; heavily targeted,STRONGLY-SUPPORTED
Electrical,3,4,3,4,2,4,20,1a,/industries/electrician-ai-automation,BUILD SECOND,Moderately targeted,STRONGLY-SUPPORTED
Painting,3,1,4,3,4,5,20,2,/industries/painter-ai-automation,KEEP,Accessible; low urgency,INFERRED
Moving,3,3,4,4,3,3,20,2,/industries/moving-company-ai-automation,KEEP,Quote-heavy; seasonal,INFERRED
Cleaning,2,2,2,5,3,5,19,2,/industries/cleaning-business-ai-automation,KEEP,High admin burden but low job value,INFERRED
Garage door / locksmith,2,5,1,3,3,3,17,3,none,SKIP,High urgency but low job value and no quote complexity,INFERRED
Auto detailing / mobile mechanic,2,2,2,3,4,4,17,3,/industries/auto-detailing-ai-automation,MERGE,Low value,INFERRED
Real estate / mortgage / insurance,4,3,2,4,1,3,17,3,4 pages,MERGE,Saturated by specialist vertical vendors,INFERRED
Law firms,5,2,2,4,1,2,16,3,/industries/law-firm-ai-automation,MERGE,High value but specialist incumbents and no founder relationship,INFERRED
Pest control,2,3,2,4,2,3,16,3,/industries/pest-control-ai-automation,MERGE,Targeted by incumbents,INFERRED
Clinics / dental / physio / chiro,3,2,1,5,1,2,14,reject,4 pages,MERGE,PHIPA-regulated data; specialist vendors (Mihron claims PHIPA); wrong buyer,INFERRED
Content creators,2,1,2,4,3,2,14,reject,20 /creators pages,PAUSE-NOINDEX,Different audience vocabulary price and proof. Dilutes entity — the top GEO factor. Competes with $20/mo self-serve tools,INFERRED
Restaurants / food trucks,1,2,1,3,3,4,14,reject,2 pages,MERGE,Low job value,INFERRED
Salons / barbershops / gyms / trainers,1,1,1,4,2,4,13,reject,4 pages,MERGE,Lowest job value; booking-app incumbents,INFERRED
Accountants / bookkeepers / consultants / agencies,3,1,2,4,2,3,15,reject,4 pages,MERGE,Not field service; different pain,INFERRED
Ecommerce / retail,2,1,1,3,2,2,11,reject,2 pages,MERGE,Entirely different buyer and stack,INFERRED
Immigration consultants / wedding planners / photographers / videographers,2,1,3,3,4,3,16,reject,4 pages,MERGE,No strategic fit,INFERRED
