route,title,canonical,robots,h1Count,h1,ldTypes,prices
"/","AI Receptionist & Admin Systems for BC Contractors | Handbuilt AI","https://aibuiltbyhand.com","index, follow","1","Missed calls, late quotes, invoice chasing — handled.","AdministrativeArea|Answer|City|Country|FAQPage|LocalBusiness|Offer|Organization|PostalAddress|PriceSpecification|ProfessionalService|Question|Service|WebSite","$1,500|$1,500 –$2,500|$1,680|$10,000|$140|$180|$199|$3,360|$3,500|$3,500 –$7,500|$300|$320|$399 –$499|$4,120|$499"
"/_not-found","404: This page could not be found.","https://aibuiltbyhand.com","noindex","1","404","AdministrativeArea|Country|LocalBusiness|Organization|PostalAddress|ProfessionalService|WebSite",""
"/about","About Handbuilt — Your Personal AI Studio | Handbuilt AI","https://aibuiltbyhand.com/about","index, follow","1","A personal AI studio, not a software factory","AdministrativeArea|Country|LocalBusiness|Organization|PostalAddress|ProfessionalService|WebSite",""
"/agent","Handbuilt AI | Custom AI Apps, Agents & Business Automation","https://aibuiltbyhand.com","index, follow","1","AI Sales Agent","AdministrativeArea|Country|LocalBusiness|Organization|PostalAddress|ProfessionalService|WebSite",""
"/agent/calls","Handbuilt AI | Custom AI Apps, Agents & Business Automation","https://aibuiltbyhand.com","index, follow","1","Call History","AdministrativeArea|Country|LocalBusiness|Organization|PostalAddress|ProfessionalService|WebSite",""
"/agent/campaigns","Handbuilt AI | Custom AI Apps, Agents & Business Automation","https://aibuiltbyhand.com","index, follow","1","Cold Calling Campaigns","AdministrativeArea|Country|LocalBusiness|Organization|PostalAddress|ProfessionalService|WebSite",""
"/agent/contacts","Handbuilt AI | Custom AI Apps, Agents & Business Automation","https://aibuiltbyhand.com","index, follow","1","Manage Contacts","AdministrativeArea|Country|LocalBusiness|Organization|PostalAddress|ProfessionalService|WebSite",""
"/agent/leads","Handbuilt AI | Custom AI Apps, Agents & Business Automation","https://aibuiltbyhand.com","index, follow","1","Lead Tracking","AdministrativeArea|Country|LocalBusiness|Organization|PostalAddress|ProfessionalService|WebSite",""
"/agent/settings","Handbuilt AI | Custom AI Apps, Agents & Business Automation","https://aibuiltbyhand.com","index, follow","1","Agent Settings","AdministrativeArea|Country|LocalBusiness|Organization|PostalAddress|ProfessionalService|WebSite","$129|$299|$699"
"/ai-automation-agency","AI Automation Agency for Small Businesses | Handbuilt AI","https://aibuiltbyhand.com/ai-automation-agency","index, follow","1","AI Automation Agency for Small Businesses","AdministrativeArea|Answer|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Offer|Organization|PostalAddress|ProfessionalService|Question|Service|WebSite","$1,500|$3,500–$7,500"
"/ai-automation-canada","AI Automation Services in Canada | Handbuilt AI","https://aibuiltbyhand.com/ai-automation-canada","index, follow","1","AI Automation Services in Canada","AdministrativeArea|Answer|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Offer|Organization|PostalAddress|ProfessionalService|Question|Service|WebSite","$1,500"
"/ai-business-system","Complete AI Business System | Handbuilt AI","https://aibuiltbyhand.com/ai-business-system","index, follow","1","Complete AI Business System","AdministrativeArea|Answer|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Offer|Organization|PostalAddress|ProfessionalService|Question|Service|WebSite","$1,500|$3,500–$7,500"
"/ai-chatbot-development","AI Chatbot Development | Handbuilt AI","https://aibuiltbyhand.com/ai-chatbot-development","index, follow","1","AI Chatbot Development","AdministrativeArea|Answer|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Offer|Organization|PostalAddress|ProfessionalService|Question|Service|WebSite","$1,500|$100–400"
"/ai-chatbot-for-small-business","AI Chatbot for Small Business | Handbuilt AI","https://aibuiltbyhand.com/ai-chatbot-for-small-business","index, follow","1","AI Chatbot for Small Business","AdministrativeArea|Answer|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Offer|Organization|PostalAddress|ProfessionalService|Question|Service|WebSite","$1,500"
"/ai-front-desk","AI Front Desk for Service Businesses — Handbuilt in BC | Always Answering","https://aibuiltbyhand.com/ai-front-desk","index, follow","1","Never miss the job because you missed the call.","AdministrativeArea|Answer|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Offer|Organization|PostalAddress|PriceSpecification|ProfessionalService|Question|Service|WebSite","$1,500|$1,500–$10,000|$10,000|$2,000|$3,500 – $7,500"
"/ai-integration-services","AI Integration Services for Business | Handbuilt AI","https://aibuiltbyhand.com/ai-integration-services","index, follow","1","AI Integration Services for Business","AdministrativeArea|Answer|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Offer|Organization|PostalAddress|ProfessionalService|Question|Service|WebSite","$1,500|$3,500–$7,500"
"/ai-lead-follow-up-agent","AI Lead Follow-Up Agent | Handbuilt AI","https://aibuiltbyhand.com/ai-lead-follow-up-agent","index, follow","1","AI Lead Follow-Up Agent","AdministrativeArea|Answer|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Offer|Organization|PostalAddress|ProfessionalService|Question|Service|WebSite","$1,500|$3,500–$7,500"
"/ai-receptionist","AI Receptionist for Local Businesses | Handbuilt AI","https://aibuiltbyhand.com/ai-receptionist","index, follow","1","AI Receptionist for Local Businesses","AdministrativeArea|Answer|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Offer|Organization|PostalAddress|ProfessionalService|Question|Service|WebSite","$1,500|$3,000–5,000"
"/ai-receptionist-for-contractors","AI Receptionist for Contractors | Handbuilt AI","https://aibuiltbyhand.com/ai-receptionist-for-contractors","index, follow","1","AI Receptionist for Contractors","AdministrativeArea|Answer|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Offer|Organization|PostalAddress|ProfessionalService|Question|Service|WebSite","$1,500|$35,000–$45,000"
"/cart","Handbuilt AI | Custom AI Apps, Agents & Business Automation","https://aibuiltbyhand.com","index, follow","1","Shopping Cart","AdministrativeArea|Country|LocalBusiness|Organization|PostalAddress|ProfessionalService|WebSite",""
"/compare","Compare Your Options | Handbuilt AI","https://aibuiltbyhand.com/compare","index, follow","1","Compare Your Options","AdministrativeArea|Country|LocalBusiness|Organization|PostalAddress|ProfessionalService|WebSite","$1,500|$1,500–$10,000|$1,500–$3,500"
"/compare/ai-automation-agency-pricing","What Does AI Automation Actually Cost in Canada? | Handbuilt AI","https://aibuiltbyhand.com/compare/ai-automation-agency-pricing","index, follow","1","What Does AI Automation Actually Cost in Canada?","AdministrativeArea|Answer|Article|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Organization|PostalAddress|ProfessionalService|Question|WebSite","$1,000|$1,000–$10,000|$1,500|$1,500–$10,000|$10,000|$100–$250|$3,000|$3,500–$7,500|$50,000|$500"
"/compare/ai-automation-agency-vs-diy","AI Automation Agency vs DIY | Handbuilt AI","https://aibuiltbyhand.com/compare/ai-automation-agency-vs-diy","index, follow","1","AI Automation Agency vs DIY","AdministrativeArea|Answer|Article|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Organization|PostalAddress|ProfessionalService|Question|WebSite","$1,500–$3,500|$100|$3,500–$7,500"
"/compare/ai-automation-vs-virtual-assistant","AI Automation vs Hiring a Virtual Assistant | Handbuilt AI","https://aibuiltbyhand.com/compare/ai-automation-vs-virtual-assistant","index, follow","1","AI Automation vs Hiring a Virtual Assistant","AdministrativeArea|Answer|Article|BreadcrumbList|Country|FAQPage|ListItem|LocalBusiness|Organization|PostalAddress|ProfessionalService|Question|WebSite","$1,500–$3,500|$250|$3,500–$7,500|$400–$2,500|$500"
