exact_phrase,evidence_type,normalized_problem,industry,source,source_url,date,country,funnel_stage,emotional_intensity,frequency,severity,recommended_response,recommended_page,confidence
"You could obviously tell it was a robot. And as soon as you try to talk, it would try to talk and then stop",VERBATIM,AI voice quality fails and breaks the conversation,property management,Property manager quoted in vendor comparison article,https://www.cloudtalk.io/blog/top-ai-virtual-receptionist-voice/,2026-07-31,US,evaluation,high,high,DEAL-KILLING,Publish a real unedited recorded call,/ai-receptionist-for-contractors,MODERATE
"sounded too robotic",REPORTED,AI voice quality drove a provider switch,legal,Vendor article describing a client switch,https://upfirst.ai/blog/ai-receptionist-tips,2026-07-31,US,post-purchase,high,high,DEAL-KILLING,Same,/ai-receptionist-for-contractors,LOW-MODERATE
"many people hang up on answering machines and won't leave messages",REPORTED,Voicemail does not capture leads,contractors,ContractorTalk thread via search summary,https://www.contractortalk.com/threads/answering-the-phone.64814/,2026-07-31,US,problem-aware,medium,high,HIGH,Lead with capture not with AI,/missed-calls,LOW-MODERATE
"To make money you have to do the work but to get work you have to answer the phone",VENDOR,Structural bind of the owner-operator,contractors,Vendor blog,https://massmonopoly.com/contractor-missed-call-fix/,2026-07-31,US,problem-aware,high,high,HIGH,Frame the offer around split attention not call volume,/missed-calls,LOW
"on a roof with tools in hand unable to answer their phone safely",VENDOR,Physically cannot answer while working,roofing,Vendor blog,https://massmonopoly.com/contractor-missed-call-fix/,2026-07-31,US,problem-aware,high,high,HIGH,Same,/missed-calls,LOW
"already called the next contractor on Google who answered",VENDOR,Lead goes to first responder,contractors,Vendor blog,https://massmonopoly.com/contractor-missed-call-fix/,2026-07-31,US,problem-aware,high,high,HIGH,Speed-to-lead framing,/missed-calls,LOW
"Homeowners rarely say no; they go quiet, then hire whoever stayed in touch",VENDOR,Quote follow-up failure loses won work,contractors,Vendor blog,https://partnerwithpear.com/resources/follow-up-on-estimates-home-service/,2026-07-31,US,problem-aware,medium,high,HIGH,Anchor the quote-follow-up pillar on this,/quote-follow-up,LOW-MODERATE
"Do I own all the automations and configurations you build or am I locked into your platform?",REPORTED,Ownership uncertainty,all,Agency buyer guidance,https://arsum.com/blog/posts/ai-automation-agency-pricing/,2026-07-31,US,evaluation,medium,high,SEVERE,Answer in writing before it is asked,/what-you-own,STRONGLY-SUPPORTED
"If you stop paying them your automations stop working",REPORTED,Vendor lock-in consequence,all,Agency buyer guidance,https://thinkpeak.ai/how-to-hire-an-ai-automation-agency/,2026-07-31,US,evaluation,high,high,SEVERE,Explicit exit terms on the site,/what-you-own,STRONGLY-SUPPORTED
"If everything lives in the agency's private accounts leaving means rebuilding",REPORTED,Account ownership,all,Agency buyer guidance,https://thinkpeak.ai/how-to-hire-an-ai-automation-agency/,2026-07-31,US,evaluation,high,high,SEVERE,State whose accounts hold what,/what-you-own,STRONGLY-SUPPORTED
"Insist on full ownership of all configurations workflows and code",REPORTED,Buyer checklist item,all,Agency buyer guidance,https://arsum.com/blog/posts/ai-automation-agency-pricing/,2026-07-31,US,evaluation,medium,high,SEVERE,This IS the differentiator — lead with it,/what-you-own,STRONGLY-SUPPORTED
"The chatbot graveyard is enormous and most of the tombstones say Built with good intentions. Died from bad implementation",REPORTED,Prior AI failure,all,Industry commentary,https://number6.ai/blog/24-why-your-ai-chatbot-failed-and-what-to-build-instead/,2026-07-31,US,problem-aware,high,rising,SEVERE,Lead with what it does NOT do,/trust/how-it-fails,MODERATE
"spent six figures on an AI chatbot that worked but nobody used it",REPORTED,AI project failed on adoption not technology,B2B,Case write-up,https://opencream.ai/blog/six-figures-on-ai-chatbot-nobody-used-it/,2026-07-31,EU,post-purchase,high,medium,HIGH,Emphasise adoption and handover not features,/trust/how-it-fails,MODERATE
"billing surprises from stacking add-on fees",REPORTED,Unpredictable cost,all,Cross-platform review analysis,https://serviceagent.ai/blogs/smith-ai-pricing/,2026-07-31,US,post-purchase,high,high,HIGH,Fixed one-time price directly answers this,/pricing,STRONGLY-SUPPORTED
"charges continuing after cancellation",REPORTED,Exit friction,all,Cross-platform review analysis,https://serviceagent.ai/blogs/smith-ai-pricing/,2026-07-31,US,post-purchase,high,high,HIGH,Publish exit terms,/what-you-own,STRONGLY-SUPPORTED
"calls transferred to live agents without the client's authorization",REPORTED,Loss of control over cost,all,Trustpilot analysis via secondary,https://serviceagent.ai/blogs/smith-ai-pricing/,2026-07-31,US,post-purchase,high,high,HIGH,Explain exactly what escalation does and costs,/trust/how-it-fails,STRONGLY-SUPPORTED
"expected $660 invoice ballooned to over $5100 with no advance warning",REPORTED,Bill shock,professional services,Capterra reviewer via secondary,https://serviceagent.ai/blogs/ruby-receptionist-alternatives/,2026-07-31,US,post-purchase,very high,medium,HIGH,Fixed price is the answer,/pricing,MODERATE
"$80 per month and has been great",REPORTED,Satisfied with a cheap human answering service,contractors,ContractorTalk via search summary,https://www.contractortalk.com/threads/answering-the-phone.64814/,2026-07-31,US,post-purchase,low,unknown,COUNTER-EVIDENCE,Do not assume every contractor is dissatisfied,/compare/ai-receptionist-vs-answering-service,LOW-MODERATE
"reserving their cell phone for important clients and subcontractors",REPORTED,Wants call triage not blanket answering,contractors,ContractorTalk via search summary,https://www.contractortalk.com/threads/answering-the-phone.64814/,2026-07-31,US,solution-aware,medium,unknown,MEDIUM,Position as triage/qualification not just answering,/ai-receptionist-for-contractors,LOW-MODERATE
