id,root,level,question,search_intent,funnel_stage,industry,geography,emotional_concern,objection_category,answer_format,target_page,priority,competitor_coverage,confidence
Q001,AI receptionist,1,How does an AI receptionist work?,informational,TOF,all,both,curiosity,none,definition,/resources/what-is-an-ai-receptionist,med,saturated,verified-question
Q002,AI receptionist,2,Will my customers know they're talking to AI?,trust,MOF,all,both,reputation risk,voice quality,recorded call,/ai-receptionist-for-contractors,HIGH,moderate,verified-question
Q003,AI receptionist,2,Does it sound robotic?,trust,MOF,all,both,reputation risk,voice quality,recorded call,/ai-receptionist-for-contractors,HIGH,moderate,verified-question
Q004,AI receptionist,2,Do I have to tell callers it's AI?,legal,MOF,all,both,compliance,legal,60-word answer,/trust/call-recording,med,thin,inferred
Q005,AI receptionist,2,What happens when it can't answer a question?,risk,MOF,all,both,loss of control,failure handling,80 words + diagram,/trust/how-it-fails,HIGH,thin,verified-question
Q006,AI receptionist,3,Can it transfer to a real person?,capability,MOF,all,both,loss of control,failure handling,60 words,/trust/how-it-fails,HIGH,moderate,verified-question
Q007,AI receptionist,3,What if it books the wrong appointment?,risk,MOF,all,both,operational risk,failure handling,80 words,/trust/how-it-fails,med,thin,inferred
Q008,AI receptionist,3,What if it quotes the wrong price?,risk,MOF,trades,both,financial risk,failure handling,80 words,/trust/how-it-fails,med,thin,inferred
Q009,AI receptionist,2,Can it book appointments into my calendar?,capability,MOF,all,both,practicality,integration,60 words + screenshot,/ai-receptionist-for-contractors,HIGH,saturated,verified-question
Q010,AI receptionist,2,Does it integrate with my CRM?,integration,MOF,all,both,practicality,integration,integration matrix,/integrations,HIGH,moderate,verified-question
Q011,AI receptionist,3,Does it work with Jobber?,integration,BOF,trades,both,practicality,integration,60 words + screenshot,/integrations/jobber,HIGH,thin,inferred
Q012,AI receptionist,3,Does it work with Housecall Pro?,integration,BOF,trades,US,practicality,integration,60 words + screenshot,/integrations/housecall-pro,HIGH,thin,inferred
Q013,AI receptionist,3,Does it work with QuickBooks?,integration,BOF,all,both,practicality,integration,60 words,/integrations/quickbooks,med,thin,inferred
Q014,AI receptionist,2,How much does an AI receptionist cost?,pricing,MOF,all,both,budget,price,comparison table,/pricing,med,SATURATED,verified-question
Q015,AI receptionist,3,Is there a setup fee?,pricing,BOF,all,both,budget,hidden cost,40 words,/pricing,med,thin,verified-question
Q016,AI receptionist,3,What are the overage charges?,pricing,BOF,all,both,bill shock,hidden cost,40 words,/pricing,HIGH,thin,verified-question
Q017,AI receptionist,2,Can it handle multiple calls at once?,capability,MOF,all,both,capacity,capability,40 words,/ai-receptionist-for-contractors,low,saturated,verified-question
Q018,AI receptionist,2,Does it work after hours and weekends?,capability,MOF,HVAC plumbing,both,coverage,capability,40 words,/ai-receptionist-for-contractors,med,saturated,verified-question
Q019,AI receptionist,2,Is it better than an answering service?,comparison,MOF,all,both,decision,comparison,comparison table,/compare/ai-receptionist-vs-answering-service,med,SATURATED,verified-question
Q020,AI receptionist,2,How long does setup take?,implementation,BOF,all,both,disruption,implementation,40 words,/ai-receptionist-for-contractors,med,moderate,verified-question
Q021,Missed calls,1,Why am I losing jobs from missed calls?,problem-aware,TOF,trades,both,revenue loss,none,pillar,/missed-calls,HIGH,moderate,inferred
Q022,Missed calls,2,How many calls do contractors actually miss?,informational,TOF,trades,both,curiosity,none,honest stat + caveat,/missed-calls,HIGH,saturated-but-dishonest,verified-question
Q023,Missed calls,2,What does a missed call cost me?,ROI,TOF,trades,both,revenue loss,none,CALCULATOR,/tools/missed-call-revenue-calculator,HIGH,moderate,verified-question
Q024,Missed calls,2,Do customers call back if I miss them?,problem-aware,TOF,trades,both,revenue loss,none,60 words,/missed-calls,med,moderate,inferred
Q025,Missed calls,2,How fast do I have to call back?,informational,TOF,trades,both,urgency,none,60 words,/missed-calls,med,moderate,verified-question
Q026,Missed calls,2,What is missed call text back?,solution-aware,MOF,trades,both,curiosity,none,definition,/missed-calls,med,saturated,verified-question
