current_url,page_type,recommendation,destination_url,rationale,wave,preserve_equity,gate
/,home,KEEP,/,"Rewrite with proof above the fold + ownership claim",1,301/308 — never delete,none
/services,service,MERGE,/ai-business-system,"Service layer overlaps money pages",2,301/308 — never delete,requires GSC baseline
/industries,industry,MERGE,/trades,"One of 39 speculative industry pages with zero delivered work",2,301/308 — never delete,requires GSC baseline
/locations,location,NOINDEX,,"No GBP, no local proof, no citations — doorway-page risk. Reversible",3,301/308 — never delete,none
/solutions,hub,REPURPOSE,,"Hub page — retain only if its children survive consolidation",2,301/308 — never delete,none
/use-cases,use-case,MERGE,/ai-receptionist-for-contractors,"Use-case layer overlaps services and industries",2,301/308 — never delete,requires GSC baseline
/resources,resource,MERGE,/missed-calls,"Keep 3 of 24 resource pages",2,301/308 — never delete,requires GSC baseline
/how-to,how-to,MERGE,/missed-calls,"Fold into nearest pillar",2,301/308 — never delete,requires GSC baseline
/compare,compare,MERGE,/compare/ai-receptionist-vs-answering-service,"Keep 1 of 21 comparison pages",2,301/308 — never delete,requires GSC baseline
/pricing,pricing,KEEP,/pricing,"Core page — retain",1,301/308 — never delete,none
/shop,hub,REPURPOSE,,"Hub page — retain only if its children survive consolidation",2,301/308 — never delete,none
/tools,hub,KEEP,/tools,"Promote heavily; primary lead magnet hub",1,301/308 — never delete,none
/faq,faq,KEEP,/faq,"Core page — retain",1,301/308 — never delete,none
/about,about,KEEP,/about,"Core page — retain",1,301/308 — never delete,none
/create,create,KEEP,/create,"Core page — retain",1,301/308 — never delete,none
/privacy,privacy,KEEP,/privacy,"Core page — retain",1,301/308 — never delete,none
/terms,terms,KEEP,/terms,"Core page — retain",1,301/308 — never delete,none
/tools/contractor-profit-pricing-calculator,free-tool,KEEP,/tools/contractor-profit-pricing-calculator,"Strongest asset on the site. Add WebApplication schema; link from commercial pages",1,301/308 — never delete,none
/tools/contractor-quote-follow-up-generator,free-tool,KEEP,/tools/contractor-quote-follow-up-generator,"Strongest asset on the site. Add WebApplication schema; link from commercial pages",1,301/308 — never delete,none
/tools/missed-call-revenue-calculator,free-tool,KEEP,/tools/missed-call-revenue-calculator,"Strongest asset on the site. Add WebApplication schema; link from commercial pages",1,301/308 — never delete,none
/tools/contractor-labor-burden-calculator,free-tool,KEEP,/tools/contractor-labor-burden-calculator,"Strongest asset on the site. Add WebApplication schema; link from commercial pages",1,301/308 — never delete,none
/tools/contractor-lead-leak-audit,free-tool,KEEP,/tools/contractor-lead-leak-audit,"Strongest asset on the site. Add WebApplication schema; link from commercial pages",1,301/308 — never delete,none
/ai-automation-agency,ai-automation-agency,MERGE,/ai-business-system,"Near-synonym of the flagship system page",2,301/308 — never delete,requires GSC baseline
/custom-ai-app-development,custom-ai-app-development,KEEP,/custom-ai-app-development,"Core page — retain",1,301/308 — never delete,none
/ai-chatbot-development,ai-chatbot-development,KEEP,/ai-chatbot-development,"Core page — retain",1,301/308 — never delete,none
/ai-receptionist,money,MERGE,/resources/what-is-an-ai-receptionist,"Category explainer; demote from money page",1,301/308 — never delete,requires GSC baseline
/ai-business-system,ai-business-system,KEEP,/ai-business-system,"Core page — retain",1,301/308 — never delete,none
/done-for-you-ai-automation,done-for-you-ai-automation,MERGE,/ai-business-system,"Near-synonym of the flagship system page",2,301/308 — never delete,requires GSC baseline
/ai-receptionist-for-contractors,ai-receptionist-for-contractors,KEEP,/ai-receptionist-for-contractors,"Core page — retain",1,301/308 — never delete,none
/ai-lead-follow-up-agent,ai-lead-follow-up-agent,MERGE,/quote-follow-up,"Folds into the quote follow-up pillar",1,301/308 — never delete,requires GSC baseline
/ai-chatbot-for-small-business,ai-chatbot-for-small-business,MERGE,/ai-chatbot-development,"Chatbot cannibalization — 5 URLs",2,301/308 — never delete,requires GSC baseline
