url,clicks,impressions,avg_position,phase1_action,gsc_evidence_class,revised_decision,protected,confidence,rationale,status
/,3,60,15.4,KEEP,HAS-CLICKS,KEEP,yes,high,"Measured clicks. Never redirect.",PROPOSED - NOT EXECUTED
/services,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries,1,20,5.8,MERGE,HAS-CLICKS,KEEP,yes,high,"Measured clicks. Never redirect.",PROPOSED - NOT EXECUTED
/locations,0,1,80,NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/solutions,0,0,,REPURPOSE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/use-cases,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/resources,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/how-to,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/compare,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/pricing,0,0,,KEEP,STRATEGIC-OR-TOP,KEEP,yes,high,"Top-impression, best-position, or core conversion/legal page.",PROPOSED - NOT EXECUTED
/shop,0,0,,REPURPOSE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/tools,0,0,,KEEP,TOO-NEW,KEEP,yes,high,"Shipped 2026-07-16; only 13 days inside the 46-day window. Zero is uninterpretable.",PROPOSED - NOT EXECUTED
/faq,0,16,6.6,KEEP,STRATEGIC-OR-TOP,KEEP,yes,high,"Top-impression, best-position, or core conversion/legal page.",PROPOSED - NOT EXECUTED
/about,0,0,,KEEP,STRATEGIC-OR-TOP,KEEP,yes,high,"Top-impression, best-position, or core conversion/legal page.",PROPOSED - NOT EXECUTED
/create,0,12,4.5,KEEP,STRATEGIC-OR-TOP,KEEP,yes,high,"Top-impression, best-position, or core conversion/legal page.",PROPOSED - NOT EXECUTED
/privacy,0,0,,KEEP,STRATEGIC-OR-TOP,KEEP,yes,high,"Top-impression, best-position, or core conversion/legal page.",PROPOSED - NOT EXECUTED
/terms,0,0,,KEEP,STRATEGIC-OR-TOP,KEEP,yes,high,"Top-impression, best-position, or core conversion/legal page.",PROPOSED - NOT EXECUTED
/tools/contractor-profit-pricing-calculator,0,0,,KEEP,TOO-NEW,KEEP,yes,high,"Shipped 2026-07-16; only 13 days inside the 46-day window. Zero is uninterpretable.",PROPOSED - NOT EXECUTED
/tools/contractor-quote-follow-up-generator,0,0,,KEEP,TOO-NEW,KEEP,yes,high,"Shipped 2026-07-16; only 13 days inside the 46-day window. Zero is uninterpretable.",PROPOSED - NOT EXECUTED
/tools/missed-call-revenue-calculator,0,0,,KEEP,TOO-NEW,KEEP,yes,high,"Shipped 2026-07-16; only 13 days inside the 46-day window. Zero is uninterpretable.",PROPOSED - NOT EXECUTED
/tools/contractor-labor-burden-calculator,0,0,,KEEP,TOO-NEW,KEEP,yes,high,"Shipped 2026-07-16; only 13 days inside the 46-day window. Zero is uninterpretable.",PROPOSED - NOT EXECUTED
/tools/contractor-lead-leak-audit,0,0,,KEEP,TOO-NEW,KEEP,yes,high,"Shipped 2026-07-16; only 13 days inside the 46-day window. Zero is uninterpretable.",PROPOSED - NOT EXECUTED
/ai-automation-agency,0,10,4.3,MERGE,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
