path,page_type,in_sitemap,status,redirected,final_url,content_type,title,title_length,meta_description,description_length,canonical,robots_meta,noindex,og_image,h1_count,h1_text,word_count,internal_link_count,jsonld_block_count,jsonld_types,price_strings,stale_strings_found,gsc_impressions,gsc_clicks,gsc_position,gsc_in_dataset,gsc_top_query,gsc_top_query_source,intended_keyword,overlapping_pages,action,fetch_error
/,home,yes,200,no,,text/html; charset=utf-8,AI Receptionist for Contractors in Surrey & Metro Vancouver | Handbuilt AI,74,"We install AI receptionists and quote follow-up for contractors in Surrey, Delta, Langley and Metro Vancouver — inside the phone number and accounts you already own. From $1,500 CAD. Free contractor calculators, no signup.",222,https://aibuiltbyhand.com,"index, follow",no,https://aibuiltbyhand.com/opengraph-image.png,1,"Your business number, answered by an AI receptionist built for contractors.",1890,36,2,"Organization,ProfessionalService,LocalBusiness|WebSite|Service|ProfessionalService|FAQPage","$1,500|$3,500–$7,500|$10,000|$99–$10,000+|$99/mo|$1,200|$120,960|$5|$10|$14",,60,3,15.4,yes,ai receptionist for contractors,"gap-coverage-join (heuristic, WEAK-PAGE)",,,,
/about,other,yes,200,no,,text/html; charset=utf-8,About Handbuilt — Your Personal AI Studio | Handbuilt AI,56,"Handbuilt is a personal AI studio in Surrey, BC, building custom AI apps, agents and automations for businesses and individuals worldwide. One builder, your whole AI department.",177,https://aibuiltbyhand.com/about,"index, follow",no,https://aibuiltbyhand.com/opengraph-image.png?fbdc1f51591eb68c,1,"A personal AI studio, not a software factory",372,36,1,"Organization,ProfessionalService,LocalBusiness|WebSite",$11,,0,0,,no,,,,,,
/account,app,no,307,yes,/login,text/html; charset=utf-8,,0,,0,,,no,,0,,0,0,0,,,,,,,,,,,,,
/agent,app,no,307,yes,/api/auth/error?error=Configuration,,,0,,0,,,no,,0,,0,0,0,,,,,,,,done-for-you ai automation,"gap-coverage-join (heuristic, WEAK-PAGE)",,,,
/agent/calls,app,no,307,yes,/api/auth/error?error=Configuration,,,0,,0,,,no,,0,,0,0,0,,,,,,,,,,,,,
/agent/campaigns,app,no,307,yes,/api/auth/error?error=Configuration,,,0,,0,,,no,,0,,0,0,0,,,,,,,,ai cold calling software for construction companies,"gap-coverage-join (heuristic, NO-PAGE)",,,,
/agent/contacts,app,no,307,yes,/api/auth/error?error=Configuration,,,0,,0,,,no,,0,,0,0,0,,,,,,,,,,,,,
/agent/leads,app,no,307,yes,/api/auth/error?error=Configuration,,,0,,0,,,no,,0,,0,0,0,,,,,,,,,,,,,
/agent/settings,app,no,307,yes,/api/auth/error?error=Configuration,,,0,,0,,,no,,0,,0,0,0,,,,,,,,,,,,,
/ai-automation-agency,service,yes,200,no,,text/html; charset=utf-8,AI Automation Agency for Small Businesses | Handbuilt AI,56,"Handbuilt is a solo AI studio in Surrey BC. We build custom AI tools and automations for Canadian small businesses — you talk to the builder, not a sales rep.",158,https://aibuiltbyhand.com/ai-automation-agency,"index, follow",no,https://aibuiltbyhand.com/opengraph-image.png,1,AI Automation Agency for Small Businesses,721,38,2,"Organization,ProfessionalService,LocalBusiness|WebSite|Service|FAQPage|BreadcrumbList","$1,500|$3,500–$7,500|$10,000|$99/mo|$5|$10|$13",,10,0,4.3,yes,done-for-you ai systems canada,"gap-coverage-join (heuristic, NO-PAGE)",,,,
/ai-automation-canada,service,yes,200,no,,text/html; charset=utf-8,AI Automation Services in Canada | Handbuilt AI,47,"Done-for-you AI automation for Canadian businesses — receptionists, chatbots, lead follow-up and custom systems. Fixed CAD pricing, delivered remotely nationwide.",162,https://aibuiltbyhand.com/ai-automation-canada,"index, follow",no,https://aibuiltbyhand.com/opengraph-image.png,1,AI Automation Services in Canada,489,39,2,"Organization,ProfessionalService,LocalBusiness|WebSite|Service|FAQPage|BreadcrumbList","$1,500|$3,500–$7,500|$99/mo|$5|$10|$13",,2,0,10.5,yes,ai services coquitlam,"gap-coverage-join (heuristic, WEAK-PAGE)",,,,
