id,working_title,target_query,audience,industry,country,intent,funnel_stage,information_gain,content_format,proof_needed,cta,internal_links,update_frequency,priority,effort,dependencies,status
C001,Hear a real AI receptionist call — unedited,does an AI receptionist sound robotic,trade owners,all,both,trust,MOF,"Competitors show curated demos. Almost nobody publishes a real unedited customer call",audio + transcript,"1 client + WRITTEN two-party consent",Book a fit check,"/ai-receptionist-for-contractors /trust/how-it-fails",once,1,medium,ONE CLIENT,BLOCKED ON PROOF
C002,What you actually own,do I own the automation,trade owners,all,both,commercial,BOF,"No subscription competitor can publish this honestly — structural moat",trust page,contract terms only,Book a fit check,"/pricing /beyond-platform-ai",quarterly,1,low,NONE — BUILD NOW,READY
C003,You already have Jobber's AI receptionist. Why isn't it booking jobs?,jobber ai receptionist limitations,trade owners on Jobber,trades,both,product-aware,BOF,"Effectively zero competitor coverage — no vendor writes about the limits of what they sell",money page,integration screenshot ideally,Book a fit check,"/integrations/jobber /what-you-own",quarterly,1,low,NONE — BUILD NOW,READY
C004,Stop losing quotes that go quiet,estimate follow up contractors,trade owners,trades,both,problem-aware,MOF,"Thinnest competitor density found in this research; anchored by an existing working tool",pillar + tool,none,Use the generator,"/tools/contractor-quote-follow-up-generator /trades/*",quarterly,1,low,NONE — BUILD NOW,READY
C005,What missed calls actually cost you,missed calls contractors,trade owners,trades,both,problem-aware,TOF,"Cites Invoca's 27% WITH its methodology limits and openly refuses the unverifiable 62% figure everyone repeats",pillar + calculator,honest sourcing only,Use the calculator,/tools/missed-call-revenue-calculator,quarterly,1,low,NONE,READY
C006,Build vs subscribe — when does it pay back?,one time build vs monthly subscription,trade owners,all,both,commercial,BOF,"Turns the ownership argument into a date. MUST show cases where subscribing wins",calculator,none,Book a fit check,/what-you-own,yearly,1,medium,NONE,READY
C007,Call recording and texting rules for Canadian trades,call recording consent canada,trade owners,trades,CA,legal,MOF,"Applies PIPEDA all-parties consent and CASL's 2-year implied-consent clock specifically to trades workflows. Generic compliance content exists; trade-specific does not",guide,LEGAL REVIEW REQUIRED,Book a fit check,/trust,yearly,2,medium,legal review,READY WITH REVIEW
C008,When it doesn't know the answer,ai receptionist escalation,trade owners,all,both,risk,MOF,"Vendors claim escalation; few demonstrate it. Publishing the real failure path is differentiating in a market with 42% AI abandonment",trust page,real escalation flow,Book a fit check,/ai-receptionist-for-contractors,yearly,2,low,build exists,READY
C009,Case study: [named client],none — proof asset,trade owners,fencing or landscaping,CA,trust,BOF,"First-party outcome data. The site currently has zero",case study,"1 client + real before/after number + written consent",Book a fit check,"/proof / /trades/*",once,1,medium,ONE CLIENT,BLOCKED ON PROOF
C010,Jobber integration — see a booking land,jobber integration,trade owners on Jobber,trades,both,integration,MOF,"Screenshot of a real booking landing in the platform. Proof rather than copy",integration page,working integration,Book a fit check,/beyond-platform-ai,quarterly,2,medium,working build,BLOCKED
C011,Fraser Valley trades response-time benchmark,contractor response time benchmark,trade owners,trades,CA,informational,TOF,"The category runs on recycled unverifiable statistics. A 50-business study with published methodology would be the best-sourced data in the market — and doubles as client outreach",original study,50 businesses surveyed,Book a fit check,"/missed-calls /quote-follow-up /proof",yearly,3,high,field research,FUTURE
C012,AI receptionist evaluation scorecard,how to choose an ai receptionist,trade owners,all,both,commercial,MOF,"Vendor-neutral buying framework earns citations precisely because it is not a pitch. Answers the 'best AI receptionist' query WITHOUT the unsupportable superlative",scorecard,none,Book a fit check,/pricing,yearly,3,medium,NONE,FUTURE
C013,Trade-specific call-flow templates,contractor call script,trade owners,trades,both,how-to,MOF,"Real intake scripts for quote-heavy trades — dimensions materials access photos",download,delivered work to base them on,Book a fit check,/trades/*,yearly,3,medium,delivered work,FUTURE
C014,Promote the 5 existing free tools,various,trade owners,trades,both,various,TOF,"ALREADY BUILT AND UNDER-USED. Real math, no login, no API cost. Currently orphaned from the commercial funnel",existing tools,none,Use the tool,all commercial pages,ongoing,1,VERY LOW,NONE,"READY — HIGHEST VALUE-TO-EFFORT ITEM IN THE PLAN"
C015,DO NOT BUILD: more resources/compare/industry/city pages,n/a,n/a,n/a,n/a,n/a,n/a,"None. 216 URLs already exist with zero proof behind them. Adding to the numerator worsens the page-to-proof ratio",none,n/a,n/a,n/a,n/a,REJECT,n/a,n/a,REJECTED
