current_url,page_type,phase1_action,clicks,impressions,ctr_pct,avg_position,in_gsc_dataset,revised_action,confidence,reason,implementation_status
/,home,KEEP,3,60,5.0,15.4,yes,KEEP-PROTECTED,high,"Has measured clicks — must not be redirected",BLOCKED — no redirect executed
/services,service,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/industries,industry,MERGE,1,20,5.0,5.8,yes,KEEP-PROTECTED,high,"Has measured clicks — must not be redirected",BLOCKED — no redirect executed
/locations,location,NOINDEX,0,1,0.0,80,yes,NOINDEX,medium,"Low but non-zero impressions (1) — preserve equity, defer",BLOCKED — no redirect executed
/solutions,hub,REPURPOSE,0,0,0.0,,no,REPURPOSE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/use-cases,use-case,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/resources,resource,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/how-to,how-to,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/compare,compare,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/pricing,pricing,KEEP,0,0,0.0,,no,KEEP,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/shop,hub,REPURPOSE,0,0,0.0,,no,REPURPOSE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/tools,hub,KEEP,0,0,0.0,,no,KEEP-PROTECTED,high,"Free tool; shipped 2026-07-16, only ~13 days inside the data window — absence is immaturity, not failure",BLOCKED — no redirect executed
/faq,faq,KEEP,0,16,0.0,6.6,yes,KEEP,medium,"Low but non-zero impressions (16) — preserve equity, defer",BLOCKED — no redirect executed
/about,about,KEEP,0,0,0.0,,no,KEEP,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/create,create,KEEP,0,12,0.0,4.5,yes,KEEP,medium,"Low but non-zero impressions (12) — preserve equity, defer",BLOCKED — no redirect executed
/privacy,privacy,KEEP,0,0,0.0,,no,KEEP,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/terms,terms,KEEP,0,0,0.0,,no,KEEP,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/tools/contractor-profit-pricing-calculator,free-tool,KEEP,0,0,0.0,,no,KEEP-PROTECTED,high,"Free tool; shipped 2026-07-16, only ~13 days inside the data window — absence is immaturity, not failure",BLOCKED — no redirect executed
/tools/contractor-quote-follow-up-generator,free-tool,KEEP,0,0,0.0,,no,KEEP-PROTECTED,high,"Free tool; shipped 2026-07-16, only ~13 days inside the data window — absence is immaturity, not failure",BLOCKED — no redirect executed
/tools/missed-call-revenue-calculator,free-tool,KEEP,0,0,0.0,,no,KEEP-PROTECTED,high,"Free tool; shipped 2026-07-16, only ~13 days inside the data window — absence is immaturity, not failure",BLOCKED — no redirect executed
/tools/contractor-labor-burden-calculator,free-tool,KEEP,0,0,0.0,,no,KEEP-PROTECTED,high,"Free tool; shipped 2026-07-16, only ~13 days inside the data window — absence is immaturity, not failure",BLOCKED — no redirect executed
/tools/contractor-lead-leak-audit,free-tool,KEEP,0,0,0.0,,no,KEEP-PROTECTED,high,"Free tool; shipped 2026-07-16, only ~13 days inside the data window — absence is immaturity, not failure",BLOCKED — no redirect executed
/ai-automation-agency,ai-automation-agency,MERGE,0,10,0.0,4.3,yes,MERGE-DEFER,medium,"Low but non-zero impressions (10) — preserve equity, defer",BLOCKED — no redirect executed
/custom-ai-app-development,custom-ai-app-development,KEEP,0,14,0.0,10.2,yes,KEEP,medium,"Low but non-zero impressions (14) — preserve equity, defer",BLOCKED — no redirect executed
/ai-chatbot-development,ai-chatbot-development,KEEP,0,118,0.0,68.6,yes,KEEP,high,"Meaningful measured impressions (118) — do not merge blindly",BLOCKED — no redirect executed
/ai-receptionist,money,MERGE,0,146,0.0,72.5,yes,KEEP-REVIEW,high,"Meaningful measured impressions (146) — do not merge blindly",BLOCKED — no redirect executed
/ai-business-system,ai-business-system,KEEP,0,11,0.0,4.5,yes,KEEP,medium,"Low but non-zero impressions (11) — preserve equity, defer",BLOCKED — no redirect executed
/done-for-you-ai-automation,done-for-you-ai-automation,MERGE,0,20,0.0,51,yes,MERGE-DEFER,medium,"Low but non-zero impressions (20) — preserve equity, defer",BLOCKED — no redirect executed
/ai-receptionist-for-contractors,ai-receptionist-for-contractors,KEEP,0,16,0.0,71.9,yes,KEEP,medium,"Low but non-zero impressions (16) — preserve equity, defer",BLOCKED — no redirect executed
/ai-lead-follow-up-agent,ai-lead-follow-up-agent,MERGE,0,10,0.0,79.6,yes,MERGE-DEFER,medium,"Low but non-zero impressions (10) — preserve equity, defer",BLOCKED — no redirect executed
/ai-chatbot-for-small-business,ai-chatbot-for-small-business,MERGE,0,3,0.0,29.7,yes,MERGE-DEFER,medium,"Low but non-zero impressions (3) — preserve equity, defer",BLOCKED — no redirect executed
/remote-ai-development,remote-ai-development,KEEP,0,0,0.0,,no,KEEP,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/ai-integration-services,ai-integration-services,MERGE,0,14,0.0,48.4,yes,MERGE-DEFER,medium,"Low but non-zero impressions (14) — preserve equity, defer",BLOCKED — no redirect executed
/ai-automation-canada,ai-automation-canada,MERGE,0,2,0.0,10.5,yes,MERGE-DEFER,medium,"Low but non-zero impressions (2) — preserve equity, defer",BLOCKED — no redirect executed
/services/ai-chatbot-for-website,services,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-lead-capture-form,service,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-quote-generator,service,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-customer-support-agent,service,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-receptionist-setup,services,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-email-automation,service,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-sms-automation,service,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-calendar-booking-agent,service,MERGE,0,1,0.0,8,yes,MERGE-DEFER,medium,"Low but non-zero impressions (1) — preserve equity, defer",BLOCKED — no redirect executed
/services/ai-crm-automation,service,MERGE,0,3,0.0,7.3,yes,MERGE-DEFER,medium,"Low but non-zero impressions (3) — preserve equity, defer",BLOCKED — no redirect executed
/services/ai-invoice-reminder-system,service,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-review-request-system,service,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-intake-form-builder,service,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-website-assistant,services,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-sales-assistant,services,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
/services/ai-admin-assistant,service,MERGE,0,0,0.0,,no,MERGE,low,"Not present in retrieved dataset (46-day window) — NOT proof of zero lifetime impressions",BLOCKED — no redirect executed
